County,Population,Firearm Homicide,Total Homicide,Firearm Suicides,Total Suicides,Poverty %,Poverty % (U18),MedHHInc,PopDen
"Atoka County, OK",153087.0,,11.0,15.0,27.0,17.1,20.3,"44,489",5.491211135
"Attala County, MS",207664.0,20.0,24.0,18.0,21.0,22.3,32.0,"40,592",9.761341766
"Augusta County, VA",820745.0,,16.0,118.0,173.0,8.5,11.4,"69,243",29.82422931
"Austin County, TX",322761.0,15.0,17.0,47.0,70.0,10.4,16.5,"68,150",17.65700997
"Autauga County, AL",609875.0,22.0,32.0,78.0,115.0,10.7,16.1,"66,444",35.85341899
"Avoyelles Parish, LA",451816.0,28.0,42.0,78.0,99.0,30.5,45.0,"38,567",18.9711161
"Bacon County, GA",123369.0,12.0,12.0,13.0,18.0,23.4,35.7,"43,154",15.26007768
"Baker County, FL",306232.0,10.0,12.0,28.0,40.0,16.1,22.3,"60,994",18.33099273
"Baldwin County, AL",2250866.0,49.0,68.0,281.0,444.0,10.8,16.4,"65,658",50.54150356
"Baldwin County, GA",498773.0,39.0,48.0,45.0,61.0,24.4,31.6,"44,685",67.58826619
"Baltimore County, MD",9058805.0,523.0,682.0,425.0,978.0,9.8,14.2,"80,159",534.0413784
"Baltimore city, MD",6736970.0,2203.0,2607.0,210.0,591.0,22.9,33.8,"54,068",2932.040761
"Bamberg County, SC",164279.0,17.0,18.0,14.0,17.0,25.9,34.4,"37,906",14.33037251
"Bannock County, ID",934057.0,,25.0,152.0,252.0,12.9,14.3,"60,058",29.5228912
"Barbour County, AL",287620.0,21.0,29.0,30.0,41.0,23.0,35.1,"38,649",11.24798121
"Barnstable County, MA",2358604.0,11.0,24.0,74.0,338.0,8.0,11.3,"82,980",209.2848818
"Barnwell County, SC",238605.0,37.0,43.0,21.0,27.0,23.0,32.5,"42,265",15.19191492
"Barren County, KY",477337.0,,10.0,69.0,104.0,19.3,26.3,"49,245",34.5887888
"Barron County, WI",500341.0,,13.0,45.0,74.0,9.2,12.9,"60,371",20.24490268
"Barrow County, GA",835335.0,23.0,34.0,85.0,147.0,9.6,13.3,"67,646",184.3449202
"Barry County, MI",659731.0,,15.0,69.0,115.0,8.9,12.1,"68,380",41.92435909
